FileName,real_PGV_UD_1,real_PGV_UD_2,real_PGV_UD_3,real_PGV_UD_4,real_PGV_UD_5,real_PGV_UD_6,real_PGV_UD_7,real_PGV_UD_8,real_PGV_UD_9,real_PGV_UD_10,real_PGV_UD_11,real_PGV_UD_12,real_PGV_UD_13,real_PGV_UD_14,real_PGV_UD_15,real_PGV_UD_16,real_PGV_UD_17,real_PGV_UD_18,real_PGV_UD_19,real_PGV_UD_20
AIC0042102180358,0.0489785426077647,0.0489785426077647,0.0489785426077647,0.0489785426077647,0.0489785426077647,0.148893126582041,0.148893126582041,0.198499133393107,0.198499133393107,0.198499133393107,0.198499133393107,0.198499133393107,0.198499133393107,0.198499133393107,0.198499133393107,0.198499133393107,0.198499133393107,0.198499133393107,0.198499133393107,0.198499133393107
AIC0042104050622,0.0250411154336149,0.0250411154336149,0.0250411154336149,0.0250411154336149,0.0250411154336149,0.0250411154336149,0.0250411154336149,0.0250411154336149,0.0250411154336149,0.0250411154336149,0.0428582471515746,0.0428582471515746,0.0428582471515746,0.0428582471515746,0.0428582471515746,0.0428582471515746,0.0428582471515746,0.0428582471515746,0.0428582471515746,0.0428582471515746
AIC0051903090108,0.0297602188149791,0.0297602188149791,0.0297602188149791,0.0297602188149791,0.0297602188149791,0.0297602188149791,0.0297602188149791,0.0469054116406588,0.0874913684943861,0.0874913684943861,0.0874913684943861,0.0874913684943861,0.0874913684943861,0.0874913684943861,0.0874913684943861,0.0874913684943861,0.0874913684943861,0.0874913684943861,0.0874913684943861,0.0874913684943861
AIC0052009271313,0.0909268206677052,0.0909268206677052,0.0909268206677052,0.0909268206677052,0.0909268206677052,0.0909268206677052,0.0909268206677052,0.0909268206677052,0.132898768520278,0.132898768520278,0.132898768520278,0.132898768520278,0.132898768520278,0.132898768520278,0.132898768520278,0.132898768520278,0.132898768520278,0.132898768520278,0.132898768520278,0.132898768520278
AIC0052010190328,0.0168660067370036,0.0168660067370036,0.0168660067370036,0.0168660067370036,0.0168660067370036,0.0168660067370036,0.0168660067370036,0.0196629966691894,0.0258600504848852,0.0258600504848852,0.0258600504848852,0.0258600504848852,0.0258600504848852,0.0258600504848852,0.0258600504848852,0.0258600504848852,0.0258600504848852,0.0258600504848852,0.0258600504848852,0.0258600504848852
AIC0052102180358,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346,0.0536732515519346
AIC0061903090108,0.0310378787607725,0.0310378787607725,0.0310378787607725,0.0310378787607725,0.0310378787607725,0.0310378787607725,0.0310378787607725,0.0310378787607725,0.0310378787607725,0.0310378787607725,0.0622773828506772,0.07710797689494,0.0967783286196524,0.0967783286196524,0.0967783286196524,0.0967783286196524,0.0967783286196524,0.0967783286196524,0.0967783286196524,0.0967783286196524
AIC0062009271313,0.102129228875298,0.102129228875298,0.118377059991195,0.118377059991195,0.118377059991195,0.118377059991195,0.510820555232771,0.510820555232771,0.510820555232771,0.510820555232771,0.510820555232771,0.510820555232771,0.510820555232771,0.510820555232771,0.510820555232771,0.510820555232771,0.510820555232771,0.510820555232771,0.510820555232771,0.510820555232771
AIC0062104050622,0.102247056296426,0.102247056296426,0.102247056296426,0.102247056296426,0.102247056296426,0.102247056296426,0.102247056296426,0.102247056296426,0.144381855152556,0.182633815202082,0.182633815202082,0.182633815202082,0.182633815202082,0.182633815202082,0.182633815202082,0.182633815202082,0.182633815202082,0.182633815202082,0.182633815202082,0.182633815202082
AIC0081903090108,0.0177332676060129,0.029573285863948,0.029573285863948,0.029573285863948,0.029573285863948,0.029573285863948,0.029573285863948,0.029573285863948,0.029573285863948,0.0313546365447955,0.0313546365447955,0.10877501334191,0.136172742789923,0.136172742789923,0.136172742789923,0.136172742789923,0.136172742789923,0.136172742789923,0.136172742789923,0.136172742789923
AIC0081908311803,0.00651010515170113,0.0118218875054036,0.0118218875054036,0.0118218875054036,0.0118218875054036,0.0118218875054036,0.0118218875054036,0.0118218875054036,0.0118218875054036,0.0118218875054036,0.0118218875054036,0.0118218875054036,0.0293843406178568,0.043773829531473,0.043773829531473,0.043773829531473,0.043773829531473,0.043773829531473,0.043773829531473,0.043773829531473
AIC0081910020215,0.049998707197173,0.049998707197173,0.049998707197173,0.049998707197173,0.049998707197173,0.049998707197173,0.049998707197173,0.0754618861411722,0.081132403153542,0.081132403153542,0.081132403153542,0.081132403153542,0.081132403153542,0.081132403153542,0.081132403153542,0.081132403153542,0.081132403153542,0.081132403153542,0.081132403153542,0.081132403153542
