FileName,real_iv2_total_1,real_iv2_total_2,real_iv2_total_3,real_iv2_total_4,real_iv2_total_5,real_iv2_total_6,real_iv2_total_7,real_iv2_total_8,real_iv2_total_9,real_iv2_total_10,real_iv2_total_11,real_iv2_total_12,real_iv2_total_13,real_iv2_total_14,real_iv2_total_15,real_iv2_total_16,real_iv2_total_17,real_iv2_total_18,real_iv2_total_19,real_iv2_total_20
KGS0261901082139,0.00510228443928021,0.0334555016459187,0.0752049231227102,0.135133525419205,0.207718877152929,0.450858223519856,3.63002613360286,4.87934424325707,6.02860725796236,8.68605764683329,10.5710865190087,12.053728602822,13.7785932482621,15.1201373050159,15.8129471652026,16.4249805652419,17.0450180508261,17.4527794368267,17.7624951710177,18.024866982776
KGS0261903300555,0.00692946799140252,0.0182606670340758,0.0297355219427317,0.0444470237823915,0.240659467233323,0.873161006319625,1.08034132227153,1.18401878194861,1.23129152826075,1.29717954211368,1.31772832036871,1.34115597719786,1.36632373659246,1.38060108535503,1.39211675820204,1.40358340692304,1.40951478482161,1.42152744353064,1.42939951919305,1.43464969830983
KGS0261912200528,0.00350760600100033,0.00544785280087831,0.00661092516671821,0.007890071008012,0.0103124107122879,0.0481782749347142,0.0677030434338813,0.0753175058819223,0.0829176496089034,0.0881185122199385,0.0923545603416668,0.0940877881831377,0.0952289954086506,0.0959768896929088,0.0972885307794368,0.0983504304962662,0.0988728595886139,0.0991719125449633,0.0994950261119052,0.0998053038192681
KGS0262003031831,0.00191158813543018,0.00375643371760883,0.00547936718022948,0.0070757625578601,0.012536156278628,0.0347433386334344,0.0437477853797625,0.0531842253463429,0.0561547657914674,0.0575367985638083,0.0601103688754822,0.0615081275890645,0.0646023039957059,0.0662916584416207,0.0671875376294762,0.0678876010059157,0.0683766130382358,0.0688733567828525,0.069137826310351,0.069313089318535
KGS0262005260438,0.000721929838368807,0.0021329048317767,0.00379922792215182,0.0629370946190202,0.0800006481472289,0.0925132626404462,0.100471634080225,0.104365165773954,0.107552869105458,0.11090217744951,0.112373981208279,0.113802907612545,0.114774086579654,0.115475823174003,0.116017346166471,0.116367704288766,0.116816402473234,0.11710086251107,0.117335158391474,0.117580081111435
KGS0262102282330,0.00536368818915061,0.0103396422701555,0.0158550477384741,0.0201539301572475,0.024173168767011,0.0270304673776558,0.0291983459537264,0.0340967370681932,0.0556685675168275,0.0752540217791898,0.126698712503645,0.143015424377932,0.157164671305937,0.164566952390148,0.168478928442934,0.172140535854433,0.176559393668651,0.179108543188971,0.180746878279457,0.185052932150434
KGS0262103210103,0.000920529497855764,0.00164854537857574,0.00267738082614869,0.00433682178069589,0.0143501104031039,0.0306011186947987,0.0379250628849191,0.0457156863951519,0.0582703762388243,0.0652637873950623,0.0679406216510289,0.0696092564674048,0.0716685256097676,0.0728058720378636,0.0739800037244768,0.0746835898330926,0.075261278079395,0.0759915600627025,0.0763199065374971,0.0767903615731457
KGS0262104231626,0.00113524172835831,0.00182241440573684,0.0022216490889974,0.00252536850318555,0.00284293607126252,0.00308806289267121,0.00343448390235252,0.0187494850904539,0.0241064348538788,0.0318515284843196,0.0344393634085967,0.0358183531343761,0.0376407039266553,0.0384180996547452,0.038923863285027,0.039854044731907,0.0401895704336927,0.0407796081775997,0.0415201302668731,0.0417068006859293
KGS0271903300555,0.000335804336426282,0.00101467580376413,0.00213107088252416,0.00344791598524318,0.00497412877243631,0.00629308163843572,0.0475783027784234,0.127029927140718,0.169408186695531,0.183510755835307,0.198093220988727,0.215009448727974,0.222456394504515,0.233860938966127,0.24567773957184,0.251424208995298,0.25546146960477,0.258345376219709,0.260702969593427,0.262497456025901
KGS0272003031831,0.000725132655655898,0.00110602029421199,0.00156419834633602,0.00217861693115297,0.00317557805550058,0.0174349922076388,0.0231251652497106,0.0250910535075092,0.0268887597327334,0.0276832217057719,0.028374419484782,0.0288474064311932,0.0294080756096272,0.0298930253764514,0.0303343208779301,0.0307517504980293,0.031046307527708,0.031222468428054,0.031341724449693,0.0314424422374759
