FileName,real_PGV_total_1,real_PGV_total_2,real_PGV_total_3,real_PGV_total_4,real_PGV_total_5,real_PGV_total_6,real_PGV_total_7,real_PGV_total_8,real_PGV_total_9,real_PGV_total_10,real_PGV_total_11,real_PGV_total_12,real_PGV_total_13,real_PGV_total_14,real_PGV_total_15,real_PGV_total_16,real_PGV_total_17,real_PGV_total_18,real_PGV_total_19,real_PGV_total_20
CHB0072008131135,0.12018571064098,0.12018571064098,0.12018571064098,0.12018571064098,0.12018571064098,0.12018571064098,0.12018571064098,0.12018571064098,0.146935688753004,0.322311652701242,0.322311652701242,0.322311652701242,0.322311652701242,0.322311652701242,0.322311652701242,0.322311652701242,0.322311652701242,0.322311652701242,0.322311652701242,0.322311652701242
CHB0072008301437,0.049224766648179,0.0675480611930647,0.0735958343762319,0.0846540788234529,0.104572110212694,0.104572110212694,0.104572110212694,0.108041433768795,0.143972987611697,0.146768265713485,0.199849100505996,0.382505007900453,0.485412930398092,0.485412930398092,0.485412930398092,0.485412930398092,0.485412930398092,0.485412930398092,0.485412930398092,0.485412930398092
CHB0072010281558,0.114144097206925,0.12040967458961,0.12040967458961,0.12040967458961,0.12040967458961,0.12040967458961,0.12040967458961,0.12040967458961,0.136878094070262,0.18683710641417,0.313113507217161,0.320655039581854,0.320655039581854,0.320655039581854,0.320655039581854,0.320655039581854,0.320655039581854,0.320655039581854,0.320655039581854,0.320655039581854
CHB0072011221906,0.0547686612941435,0.0916125732461694,0.10712563999075,0.109358257183987,0.109358257183987,0.129453024333344,0.129453024333344,0.129453024333344,0.162439253944166,0.162439253944166,0.162439253944166,0.162439253944166,0.16936342366227,0.236267423206509,0.506016394689996,1.42297978063405,1.42297978063405,1.42297978063405,1.42297978063405,1.42297978063405
CHB0072011251120,0.24398927104227,0.24398927104227,0.24398927104227,0.24398927104227,0.24398927104227,0.24398927104227,0.24398927104227,0.24398927104227,0.403382603871278,0.403382603871278,0.403382603871278,0.403382603871278,0.403382603871278,0.403382603871278,0.403382603871278,0.403382603871278,0.403382603871278,0.403382603871278,0.403382603871278,0.403382603871278
CHB0072012171642,0.757353270378806,0.757353270378806,0.757353270378806,0.757353270378806,0.757353270378806,0.757353270378806,0.757353270378806,0.757353270378806,0.886809036713369,0.886809036713369,0.886809036713369,0.886809036713369,0.886809036713369,0.886809036713369,0.886809036713369,0.886809036713369,0.886809036713369,0.886809036713369,0.886809036713369,0.886809036713369
CHB0072012300935,0.0294031411420136,0.0429217074399523,0.0627823936668328,0.0719472685063956,0.0741721142989734,0.0741721142989734,0.0741721142989734,0.0778886079933801,0.13500260221446,0.13500260221446,0.225345410102529,0.430116685128445,0.983462341307086,0.983462341307086,0.983462341307086,0.983462341307086,0.983462341307086,0.983462341307086,0.983462341307086,0.983462341307086
CHB0072102061410,0.102934846674346,0.102934846674346,0.102934846674346,0.102934846674346,0.102934846674346,0.102934846674346,0.102934846674346,0.102934846674346,0.231451947436967,0.231451947436967,0.231451947436967,0.231451947436967,0.231451947436967,0.231451947436967,0.231451947436967,0.231451947436967,0.231451947436967,0.231451947436967,0.231451947436967,0.231451947436967
CHB0072103041122,0.0564341673392188,0.0564341673392188,0.0564341673392188,0.0564341673392188,0.0564341673392188,0.0582872833718579,0.0582872833718579,0.0681394009847901,0.132208847390894,0.180525972684963,0.180525972684963,0.180525972684963,0.180525972684963,0.180525972684963,0.180525972684963,0.180525972684963,0.180525972684963,0.180525972684963,0.180525972684963,0.180525972684963
CHB0072103160456,0.253044207727477,0.253044207727477,0.253044207727477,0.276241898704687,0.276241898704687,0.276241898704687,0.276241898704687,0.276241898704687,0.276241898704687,0.368519127219,0.699951818468165,1.2013869387384,1.2013869387384,1.2013869387384,1.2013869387384,1.2013869387384,1.2013869387384,1.2013869387384,1.2013869387384,1.2013869387384
CHB0072105240409,0.13561724716542,0.13561724716542,0.13561724716542,0.13561724716542,0.13561724716542,0.13561724716542,0.138870208196844,0.138870208196844,0.138870208196844,0.27047393881808,0.27047393881808,0.27047393881808,0.27047393881808,0.27047393881808,0.27047393881808,0.27047393881808,0.27047393881808,0.27047393881808,0.27047393881808,0.27047393881808
CHB0072107280055,0.01166921513733,0.0309210580071967,0.0336711740740872,0.0336711740740872,0.0336711740740872,0.0336711740740872,0.0468867853259001,0.0468867853259001,0.060027399223255,0.121493369244281,0.304076086643864,0.304076086643864,0.304076086643864,0.304076086643864,0.304076086643864,0.304076086643864,0.304076086643864,0.304076086643864,0.304076086643864,0.304076086643864
CHB0081901141323,0.110454678520571,0.110454678520571,0.110454678520571,0.110454678520571,0.110454678520571,0.110454678520571,0.110454678520571,0.110454678520571,0.110454678520571,0.110454678520571,0.310179451759479,0.310179451759479,0.310179451759479,0.485007321569114,0.485007321569114,0.485007321569114,0.485007321569114,0.485007321569114,0.485007321569114,0.485007321569114
CHB0081905251520,0.210090531204136,0.210090531204136,0.474802232754547,0.474802232754547,0.474802232754547,0.474802232754547,0.474802232754547,0.534886731796162,2.97223494415766,5.53962009788155,5.53962009788155,5.53962009788155,5.53962009788155,5.53962009788155,5.53962009788155,5.53962009788155,5.53962009788155,5.53962009788155,5.53962009788155,5.53962009788155
CHB0081906010758,0.0832540349734769,0.0832540349734769,0.158739946936137,0.158739946936137,0.158739946936137,0.195297766726743,0.195297766726743,0.213797980314467,0.522818035095952,2.3336749421756,2.3336749421756,2.3336749421756,2.3336749421756,2.3336749421756,2.3336749421756,2.3336749421756,2.3336749421756,2.3336749421756,2.3336749421756,2.3336749421756
