FileName,real_arias_total_1,real_arias_total_2,real_arias_total_3,real_arias_total_4,real_arias_total_5,real_arias_total_6,real_arias_total_7,real_arias_total_8,real_arias_total_9,real_arias_total_10,real_arias_total_11,real_arias_total_12,real_arias_total_13,real_arias_total_14,real_arias_total_15,real_arias_total_16,real_arias_total_17,real_arias_total_18,real_arias_total_19,real_arias_total_20
AOM0061908290846,4.75735941871018e-05,0.00101446096593263,0.00599047839929128,0.0153994204325706,0.0234719577697362,0.0342660397192692,0.0431949012730538,0.0500328033795655,0.0552753449808428,0.061192589636005,0.0667614299597013,0.0719179104052534,0.0767437922394983,0.0806095257670849,0.0902225703971428,0.100866814910796,0.112310489736628,0.125714144151595,0.138779485026097,0.150620621274637
AOM0061909071836,0.000177327137780524,0.000798824865958831,0.00247867873901047,0.00387739068184123,0.00559514622611798,0.00667528316659418,0.00831074890182304,0.00945575172543815,0.0107839728547517,0.0120159602224809,0.0135552414281944,0.0152781087126155,0.017223417004203,0.0199270223746252,0.0296194268840798,0.0395620123487314,0.0583835345671176,0.0679791461497837,0.0799303424761373,0.0898703877325581
AOM0061912191521,0.00109716155604453,0.0106841108076092,0.0325580214913228,0.0494365337202645,0.0711859536578199,0.0929005584165845,0.103191838833316,0.110991211460881,0.126316737811882,0.138109722685995,0.152590900822173,0.163633296480726,0.172507830609971,0.201244613924868,0.477534475590107,0.948572095164983,1.24836044009401,1.47586407784606,1.63559423213477,1.87146455907286
AOM0062004240452,4.28517093038229e-05,0.000703279706226986,0.00178806432637446,0.00332530338594774,0.00510135106324832,0.00648647886983728,0.00802146643201405,0.00991074086317408,0.0117703254952596,0.0145451187740883,0.0167930493386648,0.019468076115554,0.0239346131114372,0.0347534942728436,0.0469815539868467,0.0552178452972058,0.0674982040342489,0.0814015835914426,0.0943911450083256,0.10319085443888
AOM0062004301215,8.2057817778081e-05,0.000906882729519651,0.0038386727399124,0.00690370014535982,0.00912149048560856,0.011703061466092,0.0138184099884831,0.0160200956810707,0.0182714089912854,0.0203630137042422,0.0223037309512449,0.0246482821047326,0.0277054707805464,0.0314378271725504,0.0348855397991657,0.0391410272647972,0.0419896388950624,0.045653818291357,0.066033532684178,0.129536699426626
AOM0062011061756,7.23542118278114e-05,0.000612384756862087,0.00158896133437945,0.00356459220181502,0.00529215864871176,0.00642284647263087,0.00791132605856647,0.00972448596355335,0.0109280315196222,0.0121324572177175,0.014136197347199,0.0152121477873959,0.0164906758035092,0.0178899038297529,0.020123526757069,0.0221970842437705,0.0234133670839553,0.0250827294653591,0.0276982328584597,0.0295669226848102
AOM0062012121619,4.87084403730223e-05,0.000529810457796582,0.00195924031591352,0.0062148941138468,0.011306118885358,0.014287895354314,0.017974231886758,0.0243404072855427,0.0288954110066031,0.0345493080994675,0.0406466478224102,0.0506074246468192,0.055913360825598,0.0612741978334204,0.0708225001254344,0.0807349587620505,0.0920399707988097,0.114410154142564,0.155518650553336,0.212217634983021
AOM0062012210223,0.00208178139359081,0.0112091401352553,0.0310202408555416,0.0990411272165127,0.162787277784482,0.222407631878831,0.260994426933051,0.309839458510883,0.332989472626039,0.368398946719197,0.411849755372563,0.450844787599641,0.479506536501662,0.530473763948846,0.600386462388765,0.68806427254896,0.872938154801288,0.96577588956108,1.12463856079881,1.31414815256057
AOM0062102262031,0.00347855965034431,0.0199988591329171,0.034841780329712,0.0407512343437787,0.0449984477409497,0.0488146406312226,0.0526234753332687,0.0554221104768661,0.0582201305234963,0.0612131891696506,0.0630799006553437,0.0672693085490017,0.104682033739504,0.174977599468397,0.230188711770026,0.2672741911498,0.293378682542618,0.313704700524345,0.325629957714402,0.337781802622618
AOM0062106092206,0.000133034017181825,0.00180805280554214,0.00459469001076479,0.00696407913289167,0.00848944892184542,0.00993050450212177,0.0115350812324326,0.0124539873677566,0.0136953324221525,0.0147833253662725,0.0155649175476114,0.0164714015625387,0.017196586027029,0.0181552666446412,0.0189417477141213,0.0196958630642771,0.0209348524521434,0.0216505196048114,0.0225326163767337,0.0247483214242761
