FileName,real_TP_1,real_TP_2,real_TP_3,real_TP_4,real_TP_5,real_TP_6,real_TP_7,real_TP_8,real_TP_9,real_TP_10,real_TP_11,real_TP_12,real_TP_13,real_TP_14,real_TP_15,real_TP_16,real_TP_17,real_TP_18,real_TP_19,real_TP_20
KNG0041907250714,0.00913599394899022,0.00817979722934868,0.00774787282217633,0.00757039280316169,0.00727322121386476,0.00745196854157608,0.00713582127313527,0.00718455166910523,0.00715586128645534,0.00708739458141724,0.00711032905346722,0.00708611543761484,0.00860749741840319,0.00839758027550191,0.00809539771060294,0.00768331343563094,0.0077342121874606,0.00769237262975562,0.00791394454268879,0.0081014276450521
KNG0041910090458,0.000200831371481591,0.000172880598138545,0.000172629295196678,0.000179241980602011,0.000205425246870372,0.000195624017058231,0.000187283928213585,0.00027233657423404,0.000312358527990575,0.000313881218065825,0.000307140600650215,0.000301121058464062,0.000327587151166895,0.000456425204285518,0.000436032287401966,0.000447068767600117,0.000462329379773977,0.000494630302616307,0.000534527569752616,0.000609744669793427
KNG0041911172005,0.00291306226839209,0.00221736327282172,0.00212409718021619,0.00209051942093322,0.00220691646464281,0.00209553594490981,0.00214701082530709,0.00215307794304617,0.00204346167876754,0.0019516372133585,0.00191862614381033,0.00168567636618359,0.00161988641989387,0.00198108635046664,0.00268220670793863,0.00276960233931373,0.00291171592676008,0.00320549594780938,0.00324584481313053,0.00324003707980591
KNG0041912140324,0.00234963568495805,0.00198535354688618,0.00169902168808719,0.00118731518311222,0.000911187867548602,0.000896883176310452,0.00142125032352071,0.00145115834275763,0.00150253213377155,0.00149868687457298,0.00156462280023451,0.00159173623607403,0.00172933396734173,0.00184530419582966,0.0018975020191363,0.00190157980141619,0.00192332619110832,0.00196370692366955,0.00200315880017281,0.0020239026197895
KNG0042002010207,0.00175935409126828,0.00180514779330991,0.00190427965447878,0.0017653731737674,0.0015839314430961,0.0013843785352211,0.0027096002635022,0.00266668597559485,0.00328455475581423,0.00538266408240364,0.00538653558946513,0.00531116901528042,0.0053152776663506,0.0054449752608449,0.00528225243307584,0.00474342121689791,0.0046494057484493,0.0057165883802264,0.00558561496667469,0.00538262999581185
KNG0042004260949,0.000551105733300154,0.000478813125110582,0.000445344042116955,0.000412079311487036,0.0004375709125388,0.00056023443292579,0.000625560451754684,0.000645776072572323,0.000640231317005423,0.000652633986783008,0.000663119977511273,0.000661482748472755,0.000644334984161467,0.000638505098640099,0.00121498339267465,0.00122704623982712,0.00118684776175315,0.00109207900002456,0.00151153639635993,0.0015205485249875
KNG0042005042207,0.0267641323197874,0.0137238400866309,0.00826375516260718,0.0194683843134394,0.0181070545750373,0.0180539245713562,0.0175127411882177,0.0173669964490443,0.0185254573877701,0.0263382123520034,0.0329309524930879,0.0315662062627909,0.0435697111755427,0.0434270560632178,0.0454879287164989,0.0452575164325182,0.0447808159060615,0.0443007461145619,0.0615462952274997,0.0607694300274342
KNG0042005060157,0.0264073487027613,0.0157193885303704,0.0138268225449068,0.0116359205793991,0.0105134477082996,0.0101793557359509,0.00995404385544113,0.0108481773134745,0.0107132233779616,0.0106075037242086,0.0102778862204739,0.0102956374815451,0.0100113479469775,0.00965359030354763,0.00981572324708905,0.00974604804883414,0.00966005870649898,0.00955157265467479,0.00949768249387693,0.00987905867035887
KNG0042006160827,0.00099751074000076,0.000995604374190769,0.00103324712831838,0.00104302706025614,0.0010144428113806,0.00105696915307392,0.00110455700396939,0.00107416295257236,0.00116526895873117,0.00113267559347435,0.00111625391299436,0.00114637592638136,0.00118657141655326,0.00120876763945769,0.00120627358238293,0.00120867044904563,0.00121695663858168,0.00125367394438628,0.00127618036660638,0.00128961224541396
KNG0042006250447,0.00277740857835647,0.00948640511264323,0.0208477468838342,0.0317691670260252,0.0327460630705334,0.0360787187574496,0.035968848662314,0.0376960701822206,0.0371057331961207,0.0374393080854822,0.0374532780558248,0.0352481613032009,0.0349154764546508,0.0356505536139686,0.0362704174184526,0.0361744404048995,0.036977418491947,0.0620245296824128,0.0697799777087932,0.0703072991974081
KNG0042008100924,0.000583475212223208,0.000616238096974818,0.000544988687624107,0.000456723452633894,0.000459011939880013,0.000504809134680696,0.000697145438180594,0.000913981696769381,0.000757095440827031,0.000878007747154656,0.000813503228090991,0.000756844658121252,0.00072948359824826,0.00075045415888843,0.000783490137335025,0.00080011747246536,0.000806421512383793,0.000812089359351986,0.000820128397763025,0.000850188888628739
KNG0042010281558,0.000786062049043771,0.000824136071419658,0.000861566975844537,0.00088165355135301,0.00083290020633967,0.000751789002121676,0.000697856654812926,0.000768332420526327,0.000741682097644234,0.000688159229669092,0.000670315668893402,0.00100278492319841,0.000870408083329438,0.000795263086591882,0.00112333188360158,0.00128045902273592,0.00124186931932509,0.00120976614215189,0.0012463025725573,0.00123435866866257
KNG0042105141837,0.000234844019017811,0.000276992163973079,0.000299420009752335,0.000293837363451935,0.0003218984154036,0.000357348858098946,0.000408055254547637,0.000494319843116813,0.000517057045348018,0.00050263386318619,0.000706000082489009,0.000636588234932474,0.000629309067272721,0.000604149012918651,0.000602932068901714,0.000595073123490303,0.00059546364083596,0.000600793554341483,0.000602939015459566,0.000609346323140116
KNG0042106091727,0.00124440850290514,0.00115328785055954,0.0011471769908247,0.00115160764708022,0.00117315417903541,0.00117853483554351,0.00118224427050068,0.00117574664860012,0.00117537361648361,0.00118294107459968,0.0012104055481436,0.0012360680023526,0.00126522913701538,0.00127902078146146,0.00128611013492762,0.00128549230672332,0.00126873258180757,0.00124604073978043,0.0013001804610141,0.00128954894088893
KNG0051901080135,0.000835709885990979,0.000835576679634788,0.000868775048066849,0.000854077666480144,0.000839733311791732,0.000865979897326191,0.000944603670384291,0.00104032365676369,0.000936513502398412,0.000921030191228833,0.000915785915083649,0.000915230985342723,0.000917131281318568,0.000917062920490593,0.000930283759107792,0.000954626382328282,0.000953670783508648,0.000962406674745202,0.000968489612105454,0.00100895054946025
KNG0051906240911,0.0190418099193042,0.0209596520907196,0.0210336738683949,0.0203698461225142,0.0218600096021383,0.0210016041166853,0.0233334788309951,0.0217556686897311,0.022130462063505,0.020407605989082,0.0238236332779653,0.0228762150603171,0.0329745550563981,0.0340220535870822,0.0337088175977788,0.0323449759546093,0.0311868460865481,0.0315854446716483,0.0327201847224207,0.0330048546691628
KNG0051907250714,0.00902483365339255,0.00826663115813789,0.00836763105571735,0.00829512515967917,0.00826197181719315,0.00830194291621314,0.00828319366521865,0.00828954281963729,0.00843349237423102,0.00851169986617713,0.00863513672175904,0.0087185975346489,0.00908959543695799,0.00899630662906801,0.00917926146524927,0.00899695944289093,0.00946429994024222,0.00944052246046763,0.00980896722884186,0.00983758321406726
KNG0051910121822,0.0266882633140481,0.0251823273431401,0.0245975985966503,0.0246220655604067,0.0240435323527102,0.0233192119334729,0.022877261768325,0.0222575096173024,0.0231261024464416,0.0227508398982127,0.0227794352885659,0.0227916534364902,0.0228009194256517,0.0227410464382115,0.022967753910682,0.0227877046886391,0.0231690641186803,0.0230541730546024,0.0223048118169965,0.0224372766529736
KNG0051912140324,0.000591632361364963,0.000650635813637532,0.000618409932061772,0.000583861835996567,0.00121830704528387,0.00156704860198043,0.00356907905332433,0.00381294888494969,0.00422063635801742,0.00432106867230998,0.00445049166005607,0.00452123270365708,0.00457117195840219,0.0046745047503075,0.00468549441096448,0.0047253689692336,0.00474137476184104,0.00480466898831727,0.00489520466061967,0.00494745013927656
KNG0052005060157,0.0285770213424289,0.0243169222998718,0.0245374507705324,0.023828305709023,0.0241372594692718,0.0233724390899778,0.0241038741666457,0.0239664504951499,0.0233185027483908,0.0230072881482923,0.0225326486561108,0.0222950401248675,0.0211199651366768,0.0204194002178052,0.0198569392192114,0.0191312470556189,0.0187055797716272,0.0185593616401746,0.0183557419990083,0.0182825155204264
KNG0052006160827,0.000946573584366145,0.000997246497282168,0.000979826783157361,0.000966468890352158,0.00100340824239279,0.000978456358138805,0.001025777842189,0.00106915445767303,0.00102647824816299,0.000981305414305827,0.00100407923559586,0.00100011859972164,0.00103163371376426,0.00104854073276553,0.00106463997108914,0.00109965693254774,0.00111112037158087,0.00119273402218008,0.00119179704207148,0.00119485704768814
KNG0061906240911,0.0262158273076557,0.0231219928809657,0.0237549185585319,0.0223332125264444,0.0196306411905409,0.0193609035605328,0.0219117489988267,0.0210320661482851,0.0234829800494065,0.0273837511100388,0.0296105240898142,0.0273742386123269,0.0261894547127203,0.0264336404305444,0.0264135333516648,0.0257833786299018,0.0249193780399365,0.0240255387563907,0.023897158209678,0.0237127964813141
KNG0061910121822,0.0257311329486199,0.0224163769338122,0.0227496914516426,0.022106605265219,0.0209607704850746,0.0203803098519427,0.0200984806321249,0.0199418845842464,0.0197134809222639,0.0201909848298444,0.0207604535473034,0.0209498701687265,0.022413823898724,0.0219620771347693,0.0220928685982383,0.0225937235347321,0.0241164112101063,0.0238983418384982,0.0241725189133476,0.0243317612945143
KNG0062005060157,0.0130987386608099,0.0138971965181886,0.0150779493729416,0.0147443639082974,0.014440163428732,0.0158431958114006,0.015741530007608,0.0154615047440558,0.0151808500740843,0.0152490940551739,0.0150006369112205,0.0146222837763814,0.0131302002622145,0.0121928071245203,0.0119863987196176,0.0123862244072776,0.011942400893383,0.0118399053674042,0.0120562348368828,0.0119065149498889
KNG0062007090605,0.00147229120459475,0.00131637085411886,0.00127070906875074,0.00128120101208268,0.001286138521219,0.00144283217757894,0.00149963637666928,0.00152993662227653,0.00151902667691985,0.00148731473670767,0.00149813269013245,0.00179530196432643,0.00256088896831508,0.00315659778041973,0.003101329245364,0.00311123788271473,0.0030359515409662,0.00364620520942408,0.00446205421318571,0.0045804980298928
KNG0062010281558,0.00139056020403712,0.00145133730916176,0.0013384082183867,0.00129147479452948,0.00124059117959749,0.00128724898614194,0.00123297129706268,0.00123308148693561,0.00116611050599548,0.00132203262795448,0.00140909146410027,0.00131685405859724,0.0011626863118972,0.00187144862148402,0.00180621743515891,0.00171200644482654,0.00170838620365591,0.00174124161395788,0.00175244867234203,0.00179451020107308
KNG0062105141837,0.000397209012080573,0.000389718532771837,0.000396429776482401,0.000409222908654035,0.000419041127124473,0.00043113744086311,0.000445934349512754,0.000491331474279702,0.00049328014394594,0.000541703426643598,0.0006322796458042,0.000725520900135982,0.000758816696581875,0.000764949935618491,0.000771467129244785,0.000776027903309252,0.000779177898153287,0.000788448750657827,0.000817651265780895,0.0008425691432947
KNG0071906240911,0.0191510709792996,0.0181189610391726,0.0169389616808623,0.0164091249830874,0.0164898515394124,0.0155375730392533,0.0167641681835156,0.0154049809259844,0.0152056876505025,0.0147899599478901,0.0202281577736292,0.0179280766675797,0.0182095181342745,0.0170486754694684,0.0171306719994298,0.0166635636815301,0.0162745969435286,0.0163985380060165,0.0161093724419013,0.0159970596703825
KNG0072005060157,0.0142553615761926,0.0183492215099926,0.0171047638225243,0.0162881396585846,0.0158180759340077,0.0161849910626957,0.0158500060691588,0.015492985607029,0.0151794414249446,0.0150372281941394,0.0152574072142226,0.0154569675390067,0.0150833106907138,0.0146958359562045,0.0142111491844582,0.0133961166411231,0.0129978783294664,0.0124155148570285,0.0119217437622886,0.0116164426783586
KNG0072010281558,0.00123929869620657,0.00118950279772234,0.00137028223636717,0.00138369489112738,0.0013541087562108,0.0013295829042131,0.00136021001991786,0.00132534092003115,0.00126895241585617,0.00122814155913303,0.00119968776146582,0.00124935317409963,0.00122000479493049,0.0012546107847525,0.0026727116349279,0.00267600487725011,0.00283287685266804,0.0028749111760843,0.00289603434212347,0.00291833373451204
KNG0081906240911,0.00840292538345381,0.0081346094328876,0.00819290580191466,0.00806711039995372,0.00790140056362263,0.00787768173505,0.00802183239536686,0.00805334931675507,0.00794602140228042,0.00784082467677007,0.0078315995452089,0.00828656709776578,0.0083596322444032,0.00837990743230835,0.00824829798028658,0.00804992108278655,0.00822599543345505,0.00832332898411551,0.00832035816540611,0.00854097916899859
