FileName,instrumental_intensity
CHB0072003301715,1.19
CHB0072004020033,1.18
CHB0072004120044,3.14
CHB0072004240138,1.67
CHB0072005042207,3.01
CHB0072005042234,1.05
CHB0072005060157,2.87
CHB0072005110858,2.19
CHB0072006010602,1.86
CHB0072006250447,3.45
CHB0072007011825,1.91
CHB0072007090605,2.46
CHB0072007290533,2.61
CHB0072008131135,1.7
CHB0072008301437,2.18
CHB0072010281558,1.82
CHB0072011221906,3.1
CHB0072011251120,1.88
CHB0072012171642,2.66
CHB0072012300935,2.68
CHB0072102061410,1.5
CHB0072103041122,1.34
CHB0072103160456,2.82
CHB0072105240409,1.59
CHB0072107280055,1.74
CHB0081901141323,1.9
CHB0081905251520,3.94
CHB0081906010758,3.15
CHB0082001140453,1.95
CHB0082002010207,3.25
CHB0082004120044,2.29
CHB0082005042207,2.05
CHB0082005060157,2.83
CHB0082007090605,1.81
CHB0082012171642,1.85
CHB0091901141323,1.7
CHB0091905251520,3.32
CHB0091906010758,2.46
CHB0091906240911,2.23
CHB0091910121822,2.3
CHB0092001140453,1.8
CHB0092002010111,1.7
CHB0092002010207,2.59
CHB0092002201253,1.51
CHB0092004120044,2.05
CHB0092004260949,2
CHB0092005042207,2.5
CHB0092005060157,3.33
CHB0092006250447,3.15
CHB0092007011825,1.32
CHB0092007090605,1.58
CHB0092007290533,1.67
CHB0092008131135,0.99
CHB0092103160456,1.85
CHB0101901141323,1.5
CHB0101901182146,2.03
CHB0101902030410,1.44
CHB0101903170607,0.81
CHB0101905251520,2.37
CHB0101907070351,1.89
CHB0101907290035,1.99
CHB0102001030324,2.85
CHB0102001140453,1.27
CHB0102002010111,3.39
CHB0102002010207,2.34
CHB0102004120044,2.79
CHB0102004240138,1.28
CHB0102005042207,4.2
CHB0102005060157,2.3
CHB0102006250447,4.01
CHB0102007011825,1.77
CHB0102007090605,1
CHB0102007290533,1.29
CHB0102008060254,1.65
CHB0102009151506,0.67
CHB0102011011940,1.4
CHB0102011221906,2.24
CHB0102011251120,0.41
CHB0102012171642,0.99
CHB0102012300935,1.71
CHB0102103041122,1.28
CHB0102108040533,2
CHB0111901182146,2.13
CHB0111905251520,3.03
CHB0111906010758,1.67
CHB0111906081246,1.07
CHB0111907070351,1.77
CHB0111912160414,0.96
CHB0112001030324,2.47
CHB0112002010111,2.81
CHB0112002010207,2.6
CHB0112002201253,2.17
CHB0112004020033,0.98
CHB0112004120044,2.98
CHB0112004240138,1.4
CHB0112004260949,1.86
CHB0112005042207,3.78
CHB0112005060157,2.97
CHB0112006250447,3.7
CHB0112007011825,2.12
CHB0112008131135,1.73
CHB0112103041122,1.8
CHB0121901141323,1.77
CHB0121901182146,2.21
CHB0121903142059,1.31
CHB0121903170607,1.14
CHB0121905251520,3.79
CHB0121906010758,2.38
CHB0121906170800,1.66
CHB0121906240911,2.64
CHB0121907070351,2.01
CHB0121907230910,1.56
CHB0121907250714,2.42
CHB0121907290035,1.04
CHB0121909141154,1.06
CHB0121910090458,1.14
CHB0121911220523,0.88
CHB0121912031018,1
CHB0121912041038,2.34
CHB0121912160414,1.57
CHB0122001030324,2.69
CHB0122001140453,1.54
CHB0122001141325,1.24
CHB0122002010111,2.57
CHB0122002010207,2.78
CHB0122002062019,1.84
CHB0122002201253,2.72
CHB0122003301715,1.16
CHB0122004020033,1.14
CHB0122004120044,2.55
CHB0122004240138,1.04
CHB0122004260949,1.72
CHB0122005042207,3.77
CHB0122005060157,3.01
CHB0122005110858,2.19
CHB0122006250447,3.5
CHB0122007011825,1.89
CHB0122007090605,1.55
CHB0122007290533,2.19
CHB0122008060254,1.53
CHB0122008131135,2.13
CHB0122008301437,1.15
CHB0122010281558,1.08
CHB0122011011940,1.24
CHB0122011221906,2.37
CHB0122012171642,1.32
CHB0122012300935,2.14
CHB0122102061410,1.08
CHB0122103041122,1.64
CHB0122103160456,1.88
CHB0122105240409,0.94
CHB0122105291002,1.49
CHB0122107280055,1.1
CHB0122108040533,1.86
CHB0131905251520,3.19
CHB0131906010758,2.32
CHB0131910121822,1.94
CHB0132002010207,2.21
CHB0132002201253,2.69
CHB0132004120044,1.76
CHB0132005042207,2.41
CHB0132005060157,2.33
CHB0132006250447,2.75
CHB0132007011825,1.61
CHB0132008131135,1.25
CHB0141901080135,1.35
CHB0141901141323,1.82
CHB0141901182146,2.29
CHB0141901291242,1.36
CHB0141906010758,3.48
CHB0141906240911,3.29
CHB0141908232049,1.94
CHB0141910121822,2.83
CHB0141912160414,1.83
CHB0142001030324,2.34
CHB0142001140453,1.83
CHB0142002010111,2.22
CHB0142002010207,2.75
CHB0142002201253,2.65
CHB0142004120044,2.25
CHB0142005042207,2.77
CHB0142005060157,3.03
CHB0142006160827,1.55
CHB0142006250447,3.55
CHB0142007011825,2.2
CHB0142007290533,1.83
CHB0142008100924,1.4
CHB0142010281558,1.62
CHB0142103160456,1.95
CHB0151901141323,1.89
CHB0151905251520,3.81
CHB0151906010758,3.21
CHB0151906240911,3.07
CHB0151907250714,2.19
CHB0151908232049,1.79
CHB0152005060157,2.81
CHB0152006160827,1.49
CHB0152007011825,1.29
CHB0152007090605,1.77
CHB0152010281558,1.88
CHB0152102061410,1.9
CHB0152103160456,1.77
CHB0161905251520,2.98
CHB0161906010758,2.46
