FileName,real_Tva_total_1,real_Tva_total_2,real_Tva_total_3,real_Tva_total_4,real_Tva_total_5,real_Tva_total_6,real_Tva_total_7,real_Tva_total_8,real_Tva_total_9,real_Tva_total_10,real_Tva_total_11,real_Tva_total_12,real_Tva_total_13,real_Tva_total_14,real_Tva_total_15,real_Tva_total_16,real_Tva_total_17,real_Tva_total_18,real_Tva_total_19,real_Tva_total_20
MYG0151906182222,0.295155629511685,0.247019991419068,0.218412223818778,0.26661420442781,0.273554019766258,0.338536831026806,0.298009511216897,0.291779692471414,0.340360862891415,0.340360862891415,0.494987427110485,0.494987427110485,0.494987427110485,0.494987427110485,0.494987427110485,0.494987427110485,0.494987427110485,0.494987427110485,0.494987427110485,0.455621526402844
MYG0151907170025,0.0859661672631406,0.124003239135953,0.142908008964495,0.159262346568246,0.166018293247925,0.166018293247925,0.166018293247925,0.166018293247925,0.166018293247925,0.166018293247925,0.166018293247925,0.190594908149767,0.190594908149767,0.269869529935939,0.190038328518066,0.180229375589887,0.209608969024189,0.209608969024189,0.209608969024189,0.209608969024189
MYG0151907171800,0.139568063336037,0.189461425113658,0.183217364578088,0.197029663176391,0.197029663176391,0.197029663176391,0.197029663176391,0.197029663176391,0.197029663176391,0.197029663176391,0.197029663176391,0.197029663176391,0.197029663176391,0.197029663176391,0.241632909684911,0.170796240582323,0.209870721606391,0.226738037976624,0.225693572944596,0.211018580658305
MYG0151908041923,0.542679708117477,0.43897745086977,0.440168033417758,0.350620581904654,0.379443169147075,0.340171198305158,0.340171198305158,0.364909689823783,0.364909689823783,0.36882287089158,0.518833790844809,0.455664594921352,0.342940242933894,0.342940242933894,0.342940242933894,0.342940242933894,0.342940242933894,0.342940242933894,0.342940242933894,0.342940242933894
MYG0151908240305,0.12255813862905,0.1297993250911,0.136397876836723,0.137352448077743,0.132992363640138,0.175690910886247,0.175690910886247,0.175690910886247,0.175690910886247,0.175690910886247,0.163077876309976,0.211180795732053,0.210493222283307,0.182158703891824,0.182158703891824,0.182158703891824,0.192182858058582,0.192182858058582,0.192182858058582,0.192182858058582
MYG0151911031402,0.102729959959813,0.130936888202687,0.18152149090835,0.18152149090835,0.18152149090835,0.18152149090835,0.18152149090835,0.18152149090835,0.18152149090835,0.18152149090835,0.18152149090835,0.18152149090835,0.18152149090835,0.153233031379464,0.195063880025336,0.186980125805999,0.186980125805999,0.186980125805999,0.186980125805999,0.186980125805999
MYG0151911161817,0.0864968498385449,0.122417684090897,0.122417684090897,0.122417684090897,0.122417684090897,0.122417684090897,0.122417684090897,0.122417684090897,0.122417684090897,0.122417684090897,0.122417684090897,0.122417684090897,0.142214742254698,0.173982573032193,0.173982573032193,0.173982573032193,0.173982573032193,0.173982573032193,0.173982573032193,0.173982573032193
MYG0151912071234,0.138271923152482,0.191663314453047,0.191663314453047,0.159279367372002,0.159279367372002,0.159279367372002,0.159279367372002,0.159279367372002,0.159279367372002,0.159279367372002,0.159279367372002,0.159279367372002,0.159279367372002,0.180472800743892,0.202653120107643,0.157151362314996,0.188862140029064,0.188862140029064,0.197618532832572,0.197618532832572
MYG0151912111839,0.279264527999994,0.283211372889927,0.201385304717172,0.334020182436042,0.303884052325554,0.303884052325554,0.334680587147572,0.213854530896181,0.213854530896181,0.213854530896181,0.213854530896181,0.256090807542209,0.209600252091209,0.209600252091209,0.249623300344568,0.249623300344568,0.249623300344568,0.249623300344568,0.249623300344568,0.249623300344568
MYG0151912261826,0.208662775096039,0.268242987518354,0.268242987518354,0.262828658646699,0.262828658646699,0.262828658646699,0.262828658646699,0.262828658646699,0.262828658646699,0.262828658646699,0.262828658646699,0.338919078422386,0.377457799333586,0.377457799333586,0.377457799333586,0.377457799333586,0.377457799333586,0.377457799333586,0.377457799333586,0.377457799333586
MYG0152002121937,0.0747231404855105,0.112163832856119,0.123138727208029,0.123138727208029,0.123138727208029,0.148694441544684,0.218878901068006,0.197476348951173,0.197476348951173,0.197476348951173,0.197476348951173,0.197476348951173,0.197476348951173,0.307001364924194,0.292796412706608,0.257876200072987,0.257876200072987,0.257876200072987,0.257876200072987,0.257876200072987
