FileName,real_id2_UD_1,real_id2_UD_2,real_id2_UD_3,real_id2_UD_4,real_id2_UD_5,real_id2_UD_6,real_id2_UD_7,real_id2_UD_8,real_id2_UD_9,real_id2_UD_10,real_id2_UD_11,real_id2_UD_12,real_id2_UD_13,real_id2_UD_14,real_id2_UD_15,real_id2_UD_16,real_id2_UD_17,real_id2_UD_18,real_id2_UD_19,real_id2_UD_20
MYZ0031906150554,1.49584458788468e-07,4.02436485392829e-07,6.77614554709429e-07,7.70344241660088e-07,7.91799678931549e-07,8.43094390037783e-07,9.39954378720599e-07,8.52270563491324e-06,1.02667549144305e-05,1.11392140316321e-05,1.23099881514123e-05,1.33258381094655e-05,1.50328637904468e-05,1.57777290256638e-05,1.63619283762344e-05,1.73580691085057e-05,1.89040414854211e-05,1.95676817719848e-05,1.98535755932522e-05,1.99444126866348e-05
MYZ0031907270211,6.60403729531649e-07,1.29364995029483e-06,1.78380887359206e-06,3.432217060448e-06,4.88499950810747e-06,5.35879164384529e-06,5.45209943874921e-06,5.75789584780507e-06,5.88433739301479e-06,5.93868331919403e-06,6.07163225517489e-06,7.11313584433068e-06,9.074866208923e-06,1.22555293245567e-05,1.37720397052921e-05,1.52757469850835e-05,1.58723251546496e-05,1.64536700472507e-05,1.70784869755528e-05,1.76485392880496e-05
MYZ0031911230102,1.12293601079286e-07,4.53551233189368e-07,5.93179926376856e-07,8.38938628349329e-07,1.60501228679452e-06,2.35713852720261e-06,3.50474945712943e-06,4.10891331087209e-06,4.3380035904612e-06,6.10569273049041e-06,7.00465565665944e-06,1.55469508631979e-05,1.72819529980881e-05,1.98962481598226e-05,2.32158544660383e-05,2.56366066289273e-05,2.72029910112908e-05,2.75579368476264e-05,2.78074093025366e-05,2.83045305160949e-05
MYZ0032003090428,1.06408137613743e-06,1.56005866901612e-06,1.69355470442e-06,2.27494754591271e-06,3.3259907145661e-06,3.76177271850336e-06,4.10478194657363e-06,4.48836135899577e-06,4.96024599359366e-06,5.64927398523917e-06,6.65606449937221e-06,8.38656864389499e-06,1.12722531898498e-05,2.53859505273143e-05,2.94375854370595e-05,3.28100020993366e-05,3.6141524235678e-05,3.93373852247721e-05,4.2856211863088e-05,4.50722113633813e-05
MYZ0032004071412,1.78581101966341e-06,3.67553128025538e-06,5.42829367564978e-06,7.30569447367854e-06,8.47626095342095e-06,1.17752349545174e-05,4.97199499334401e-05,0.000139475936472387,0.000201502107113219,0.000209578268883003,0.000221899215101683,0.000248398750044013,0.000263610595505451,0.000274183356611193,0.00028494071770767,0.000290187530925467,0.00029277191115936,0.000296686043402001,0.000300657160162008,0.000305325944298833
MYZ0032006122030,2.16995254981121e-06,3.16189515663901e-06,4.19595963517663e-06,4.80776395353987e-06,5.32081395657341e-06,5.66521489332816e-06,6.00867559463364e-06,2.47070103776293e-05,5.00866364889132e-05,5.65068754135444e-05,6.04273466977844e-05,6.33762230525679e-05,6.49345612602677e-05,6.69716267997914e-05,6.80353586274968e-05,6.95776790652374e-05,7.00497588956958e-05,7.05392481062063e-05,7.14568741176108e-05,7.25170803197942e-05
MYZ0032103140922,5.92438183116686e-07,9.95212418271071e-07,1.19654850741391e-06,1.50271646743253e-06,1.70758492821233e-06,2.12111202283754e-06,2.32525070984923e-06,2.44842205208548e-06,2.5298461985607e-06,2.62134914713915e-06,2.71372184359377e-06,7.14755695838088e-06,1.13937479067021e-05,1.4407781640744e-05,1.76235774198259e-05,1.96315362266823e-05,2.17909621720912e-05,2.26880240104082e-05,2.33992900606933e-05,2.53703536860778e-05
MYZ0032107172050,6.23601809296445e-07,1.9529465961814e-06,1.18415401772343e-05,1.33792766975375e-05,1.61557061685378e-05,1.80254721315433e-05,1.86679132872488e-05,1.91832134362186e-05,2.10530208037533e-05,2.36383039169963e-05,2.5937372437334e-05,3.04209331235651e-05,3.4711034460205e-05,3.81647991131852e-05,4.44996811845787e-05,7.80473480314505e-05,9.66392187030054e-05,0.00013026474586353,0.000168135952944681,0.000183595872733825
MYZ0041901031810,7.36540153884623e-07,2.45918849944494e-06,3.06280472379597e-06,3.53013225253425e-06,4.95300016527228e-06,7.05872971930523e-06,8.08189086239201e-06,9.65027439561442e-06,1.07037619208756e-05,1.11154376705325e-05,1.20976953511149e-05,1.31430365879497e-05,2.89568708809914e-05,7.09194163326179e-05,0.000146023630113901,0.000183120435798752,0.000212581436703005,0.000216937679734358,0.00022617512857826,0.000249097674181157
MYZ0041903270911,1.14796632518426e-05,2.92257792542475e-05,3.90745356280838e-05,5.27463285076951e-05,5.4125348994595e-05,5.55106160832631e-05,6.83160451449193e-05,7.31204384487865e-05,9.83144281263254e-05,0.000105579015330274,0.00169759998063111,0.00195681319403913,0.00200980209802772,0.00219279940039328,0.00273371359007749,0.00285232897535604,0.00298755340526841,0.00302589856273303,0.00303134065811221,0.00305254304497954
