FileName,real_PGD_total_1,real_PGD_total_2,real_PGD_total_3,real_PGD_total_4,real_PGD_total_5,real_PGD_total_6,real_PGD_total_7,real_PGD_total_8,real_PGD_total_9,real_PGD_total_10,real_PGD_total_11,real_PGD_total_12,real_PGD_total_13,real_PGD_total_14,real_PGD_total_15,real_PGD_total_16,real_PGD_total_17,real_PGD_total_18,real_PGD_total_19,real_PGD_total_20
MYG0132103171729,0.00392121806211108,0.00522178748075439,0.00522178748075439,0.00522178748075439,0.00522178748075439,0.00522178748075439,0.00522178748075439,0.00522178748075439,0.00522178748075439,0.00616231984359384,0.00661035796775851,0.108244859710425,0.113622079042944,0.113622079042944,0.113622079042944,0.113622079042944,0.113622079042944,0.113622079042944,0.113622079042944,0.113622079042944
MYG0132103201809,0.0529934563608387,0.0634248064882999,0.130696488857593,0.358006049384596,0.358006049384596,0.45746184907467,0.45746184907467,0.45746184907467,0.745974045742322,0.745974045742322,0.745974045742322,0.794809580274492,0.985024635465214,2.18962072040216,3.26330734154342,4.40059328481031,4.40059328481031,4.40059328481031,4.40059328481031,4.40059328481031
MYG0132104032158,0.00153538617558581,0.00153538617558581,0.00185278870440737,0.00185278870440737,0.00185278870440737,0.00185278870440737,0.00185278870440737,0.00185278870440737,0.00185278870440737,0.00185278870440737,0.00185278870440737,0.00261887839171467,0.00290292015407224,0.00416621071688829,0.0182410408796253,0.0182410408796253,0.0182410408796253,0.0182410408796253,0.0182410408796253,0.0182410408796253
MYG0132104141902,0.00140591997478405,0.00140591997478405,0.00140591997478405,0.00140591997478405,0.00140591997478405,0.00140591997478405,0.00147967585834439,0.00147967585834439,0.00771299680964339,0.00813639976004147,0.00813639976004147,0.00813639976004147,0.00813639976004147,0.00813639976004147,0.00813639976004147,0.00813639976004147,0.00813639976004147,0.00813639976004147,0.00813639976004147,0.00813639976004147
MYG0132104180929,0.0607507831489127,0.0886387100520674,0.0886387100520674,0.0886387100520674,0.0886387100520674,0.0886387100520674,0.0886387100520674,0.0886387100520674,0.0886387100520674,0.0886387100520674,0.257469096570787,0.319538289246145,0.319538289246145,0.319538289246145,0.319538289246145,0.319538289246145,0.319538289246145,0.319538289246145,0.319538289246145,0.319538289246145
MYG0132104191306,0.00184769780534489,0.00184769780534489,0.00184769780534489,0.00184769780534489,0.00224871381008359,0.00288967497527171,0.00288967497527171,0.00288967497527171,0.0366152319270018,0.0366152319270018,0.0366152319270018,0.0366152319270018,0.0366152319270018,0.0366152319270018,0.0366152319270018,0.0366152319270018,0.0366152319270018,0.0366152319270018,0.0366152319270018,0.0366152319270018
MYG0132105011027,0.0993041220871363,0.199444593660331,0.333340060897439,0.333340060897439,0.333340060897439,0.361376086977418,0.361376086977418,0.361376086977418,0.361376086977418,0.361376086977418,0.361376086977418,0.720910285503909,1.0355229032803,1.0355229032803,1.0355229032803,1.0447795856607,1.11784462487444,1.11784462487444,1.11784462487444,1.11784462487444
MYG0132106081019,0.00226104643939352,0.0023248358890814,0.0023248358890814,0.00234566370770604,0.00234566370770604,0.00234566370770604,0.00234566370770604,0.00234566370770604,0.00234566370770604,0.00234566370770604,0.00247356339057419,0.0319834142031512,0.0319834142031512,0.0319834142031512,0.0319834142031512,0.0319834142031512,0.0319834142031512,0.0319834142031512,0.0319834142031512,0.0319834142031512
MYG0141904252100,0.00120974252145222,0.00164756834872752,0.00164756834872752,0.00164756834872752,0.00164756834872752,0.00164756834872752,0.00164756834872752,0.00173572991333275,0.00173572991333275,0.00173572991333275,0.00173572991333275,0.00553816990004148,0.00605983775650783,0.00605983775650783,0.00605983775650783,0.00605983775650783,0.00605983775650783,0.00605983775650783,0.00605983775650783,0.00605983775650783
MYG0141906182222,0.00602401689038216,0.0132166754519534,0.0574681186541248,0.10922725020593,0.10922725020593,0.10922725020593,0.10922725020593,0.193139949368022,0.318499265150412,0.450782699674412,0.450782699674412,0.484614283208709,0.718301742191617,0.725116790568308,0.725116790568308,0.725116790568308,0.725116790568308,0.800847932807178,0.800847932807178,0.800847932807178
MYG0141907171800,0.00786046557493529,0.00786046557493529,0.00786046557493529,0.00786046557493529,0.00786046557493529,0.00786046557493529,0.00786046557493529,0.00786046557493529,0.00786046557493529,0.00786046557493529,0.00786046557493529,0.00786046557493529,0.00786046557493529,0.00786046557493529,0.0333936408008184,0.0333936408008184,0.0333936408008184,0.0333936408008184,0.0333936408008184,0.0333936408008184
MYG0141908041923,0.0417577480439007,0.0417577480439007,0.0417577480439007,0.0417577480439007,0.0581726206647194,0.0582223864116941,0.0778516469344106,0.0778516469344106,0.0778516469344106,0.0778516469344106,0.0778516469344106,0.0778516469344106,0.126621363937687,0.240063283321965,0.240063283321965,0.240063283321965,0.240063283321965,0.240063283321965,0.240063283321965,0.240063283321965
MYG0141912222133,0.00176314701763911,0.0021731841153992,0.0031578882774836,0.00338476157838719,0.00338476157838719,0.00338476157838719,0.00338476157838719,0.00338476157838719,0.00338476157838719,0.00338476157838719,0.00504242705835157,0.00504242705835157,0.00504242705835157,0.00504242705835157,0.00504242705835157,0.00504242705835157,0.00504242705835157,0.00504242705835157,0.00504242705835157,0.00504242705835157
MYG0142102132308,0.020848932319745,0.0239650173250143,0.0695243888518737,0.083831936647588,0.0966362810733769,0.15942300426126,0.15942300426126,0.236734897158899,0.50690609865624,0.50690609865624,0.50690609865624,0.534965648028364,0.534965648028364,0.534965648028364,0.573503393956527,0.573503393956527,0.679447199047326,0.928171568671415,1.3593068566518,1.3593068566518
MYG0142102141631,0.00314248466351715,0.00343541294644278,0.00633777766335848,0.00633777766335848,0.00633777766335848,0.00633777766335848,0.00633777766335848,0.00633777766335848,0.00633777766335848,0.00633777766335848,0.00633777766335848,0.00781758932145042,0.0109622146516219,0.0116161816581056,0.018684410523102,0.0188765675750318,0.0188765675750318,0.0188765675750318,0.0188765675750318,0.0188765675750318
MYG0142103201809,0.0230739708551702,0.035367228999191,0.052867057141722,0.182817874947183,0.206772916848108,0.206772916848108,0.206772916848108,0.206772916848108,0.288188338835851,0.367455730164257,0.367455730164257,0.367455730164257,0.367455730164257,0.378298716202024,0.443433532998611,0.551489306703234,0.736991585311662,1.12536377287538,1.12536377287538,1.12536377287538
MYG0142104191306,0.000801789248530363,0.00137738735082847,0.00186161641307193,0.00186161641307193,0.00186161641307193,0.00186161641307193,0.00186161641307193,0.00186161641307193,0.00186161641307193,0.00285698942699573,0.0195630753052782,0.0195630753052782,0.0195630753052782,0.0195630753052782,0.0195630753052782,0.0195630753052782,0.0195630753052782,0.0195630753052782,0.0195630753052782,0.0195630753052782
MYG0142105011027,0.0292738997397996,0.0502976358779605,0.172688261144364,0.172688261144364,0.176785362971765,0.176785362971765,0.226002717522846,0.226002717522846,0.226002717522846,0.226002717522846,0.226002717522846,0.226002717522846,0.226002717522846,0.258392382764332,0.455726311363224,0.455726311363224,0.455726311363224,0.455726311363224,0.53782615277253,0.53782615277253
MYG0151901061734,0.00573881088501578,0.00813245669796747,0.00813245669796747,0.00813245669796747,0.00813245669796747,0.00813245669796747,0.00813245669796747,0.00813245669796747,0.00813245669796747,0.00813245669796747,0.00813245669796747,0.00813245669796747,0.00813245669796747,0.0111112885635713,0.0359512749477662,0.0359512749477662,0.0359512749477662,0.0359512749477662,0.0359512749477662,0.0359512749477662
MYG0151902051557,0.00138049937537988,0.00184599974103692,0.00210984817047972,0.00210984817047972,0.00210984817047972,0.00210984817047972,0.00210984817047972,0.00210984817047972,0.00210984817047972,0.00210984817047972,0.00210984817047972,0.0040418772536549,0.00939526214876141,0.00975097081198265,0.00975097081198265,0.00995021477643986,0.00995021477643986,0.00995021477643986,0.00995021477643986,0.00995021477643986
MYG0151903070426,0.00160739596568484,0.00218690159606619,0.00292995221533074,0.00292995221533074,0.00292995221533074,0.00325251114361182,0.00396047730836053,0.00396047730836053,0.00608574422615217,0.00608574422615217,0.00608574422615217,0.00608574422615217,0.0233569397753982,0.0233569397753982,0.0244341634879009,0.0266441117855232,0.0266441117855232,0.0266441117855232,0.0266441117855232,0.0266441117855232
MYG0151903300300,0.00136614290643575,0.00136614290643575,0.00136614290643575,0.00136614290643575,0.00162072747714494,0.00196175239736645,0.00196175239736645,0.00196175239736645,0.00196175239736645,0.00981640458541893,0.00986437844996464,0.00986437844996464,0.00986437844996464,0.00986437844996464,0.00986437844996464,0.00986437844996464,0.00986437844996464,0.00986437844996464,0.00986437844996464,0.00986437844996464
MYG0151904071002,0.00116255275123808,0.00187479717181734,0.00187479717181734,0.00187479717181734,0.00187479717181734,0.00187479717181734,0.00187479717181734,0.00187479717181734,0.00187479717181734,0.00187479717181734,0.00187479717181734,0.0113027638478662,0.0113027638478662,0.0113027638478662,0.0113027638478662,0.0113027638478662,0.0113027638478662,0.0113027638478662,0.0113027638478662,0.0113027638478662
MYG0151904252100,0.00190651657970399,0.00204285965151227,0.00204285965151227,0.00219659214638715,0.00219659214638715,0.00219659214638715,0.00219659214638715,0.00219659214638715,0.00219659214638715,0.00219659214638715,0.00255926956422238,0.019009883104582,0.027157733818525,0.027157733818525,0.027157733818525,0.027157733818525,0.027157733818525,0.027157733818525,0.027157733818525,0.027157733818525
MYG0151905041141,0.00236924937820944,0.00303911026402638,0.00303911026402638,0.00303911026402638,0.00303911026402638,0.00303911026402638,0.00303911026402638,0.00303911026402638,0.00303911026402638,0.00303911026402638,0.00303911026402638,0.00971529529145651,0.00998463771524197,0.0105075116471497,0.0105075116471497,0.0105075116471497,0.0105075116471497,0.0105075116471497,0.0105075116471497,0.0105075116471497
MYG0151905181018,0.00266479823813379,0.0053656593768425,0.0053656593768425,0.0053656593768425,0.0053656593768425,0.0053656593768425,0.0053656593768425,0.0053656593768425,0.0053656593768425,0.0053656593768425,0.0053656593768425,0.0053656593768425,0.0053656593768425,0.0053656593768425,0.0161293603802608,0.0182619716967067,0.0182619716967067,0.0185684400923867,0.0185684400923867,0.0185684400923867
MYG0151906170800,0.00206333938539286,0.00232477138848606,0.00251716215820222,0.00270876368278653,0.00273892083311807,0.00336925185332095,0.00336925185332095,0.00336925185332095,0.00336925185332095,0.00379860195798558,0.00379860195798558,0.00379860195798558,0.00379860195798558,0.00379860195798558,0.00379860195798558,0.00478229081450567,0.00478229081450567,0.0103990877292559,0.0118064913802778,0.0218654787427795
MYG0151906182222,0.00282027097455697,0.0087988427496643,0.0323004187302954,0.0439758210109668,0.0574566884429082,0.065423638367728,0.0921976965888237,0.0921976965888237,0.233166486263701,0.441800353976476,0.463916961140007,0.463916961140007,0.506783188064054,0.524644277127051,0.524644277127051,0.524644277127051,0.524644277127051,0.524644277127051,0.524644277127051,0.524644277127051
MYG0151907170025,0.000613852310423919,0.00166844122084677,0.00166844122084677,0.00211178029393491,0.00211178029393491,0.00211178029393491,0.00211178029393491,0.00211178029393491,0.00211178029393491,0.00211178029393491,0.00211178029393491,0.00211178029393491,0.00211178029393491,0.00840641690500274,0.00911826794950711,0.00911826794950711,0.00979368546495888,0.0114552347752082,0.0114552347752082,0.0114552347752082
MYG0151907171800,0.00395962204780668,0.00570803109466335,0.00570803109466335,0.00570803109466335,0.00570803109466335,0.00570803109466335,0.00570803109466335,0.00570803109466335,0.00570803109466335,0.00570803109466335,0.00570803109466335,0.00570803109466335,0.00570803109466335,0.00570803109466335,0.0127770285996329,0.0127770285996329,0.0134158782401097,0.0137801530534453,0.0137801530534453,0.0137801530534453
MYG0151908041923,0.134742270820328,0.13795636382821,0.13795636382821,0.145253027205633,0.180392010020125,0.192508836080382,0.253148165501567,0.253148165501567,0.253148165501567,0.253148165501567,0.70990415743668,0.70990415743668,0.70990415743668,0.70990415743668,0.70990415743668,0.924356087628607,0.924356087628607,0.924356087628607,0.924356087628607,0.924356087628607
MYG0151908240305,0.000958128592705899,0.00135188168564469,0.00144846053314145,0.00144846053314145,0.00145555270812719,0.00220251745240189,0.00220251745240189,0.00220251745240189,0.00220251745240189,0.00220251745240189,0.00220251745240189,0.00366325467745745,0.0131843838766488,0.0131843838766488,0.0131843838766488,0.0131843838766488,0.0131843838766488,0.0131843838766488,0.0131843838766488,0.0131843838766488
MYG0151911031402,0.00298066341847186,0.00451437936678308,0.00451437936678308,0.00451437936678308,0.00451437936678308,0.00451437936678308,0.00451437936678308,0.00451437936678308,0.00451437936678308,0.00498536802487078,0.00498536802487078,0.00498536802487078,0.00498536802487078,0.0212560050376977,0.0212560050376977,0.0213015996928293,0.0291401034838465,0.0291401034838465,0.0291401034838465,0.0291401034838465
MYG0151911161817,0.00165854314896528,0.00206749175222098,0.00206749175222098,0.00206749175222098,0.00206749175222098,0.00288886761434419,0.00288886761434419,0.00288886761434419,0.00288886761434419,0.00288886761434419,0.00288886761434419,0.00288886761434419,0.00548370697207808,0.00660459590801532,0.00660459590801532,0.00660459590801532,0.00791038624605287,0.00791038624605287,0.00791038624605287,0.00791038624605287
MYG0151912071234,0.00286495182193649,0.0033166917149304,0.0033166917149304,0.0033166917149304,0.0033166917149304,0.0033166917149304,0.0033166917149304,0.0033166917149304,0.0033166917149304,0.0033166917149304,0.0033166917149304,0.0033166917149304,0.00380236319616384,0.00725210522202439,0.00935035669617445,0.0101087919953035,0.0125899861672621,0.0125899861672621,0.0127217673461286,0.0127217673461286
MYG0151912111839,0.0172666021247584,0.0239723794469081,0.0239723794469081,0.0239723794469081,0.0239723794469081,0.0239723794469081,0.0239723794469081,0.0239723794469081,0.0239723794469081,0.0239723794469081,0.0239723794469081,0.0412475712928763,0.0475185930215209,0.0475185930215209,0.0599080227256625,0.0599080227256625,0.0599080227256625,0.0599080227256625,0.0599080227256625,0.0599080227256625
MYG0151912261826,0.0044635635097864,0.00534171421634975,0.00534171421634975,0.00534171421634975,0.00534171421634975,0.00534171421634975,0.00655033778365639,0.00655033778365639,0.00655033778365639,0.00655033778365639,0.00655033778365639,0.0343740273017334,0.0447008158195502,0.0447008158195502,0.052075971225865,0.052075971225865,0.052075971225865,0.052075971225865,0.052075971225865,0.052075971225865
