FileName,real_PGD_UD_1,real_PGD_UD_2,real_PGD_UD_3,real_PGD_UD_4,real_PGD_UD_5,real_PGD_UD_6,real_PGD_UD_7,real_PGD_UD_8,real_PGD_UD_9,real_PGD_UD_10,real_PGD_UD_11,real_PGD_UD_12,real_PGD_UD_13,real_PGD_UD_14,real_PGD_UD_15,real_PGD_UD_16,real_PGD_UD_17,real_PGD_UD_18,real_PGD_UD_19,real_PGD_UD_20
FKS0052102141631,0.0245938356123815,0.0245938356123815,0.0245938356123815,0.0245938356123815,0.0245938356123815,0.0245938356123815,0.0245938356123815,0.0450773998316845,0.0450773998316845,0.0450773998316845,0.0450773998316845,0.0450773998316845,0.0450773998316845,0.0450773998316845,0.0450773998316845,0.0450773998316845,0.0450773998316845,0.0450773998316845,0.0450773998316845,0.0450773998316845
FKS0052102141747,0.00193852040809038,0.00193852040809038,0.00193852040809038,0.00218627741361158,0.00218627741361158,0.00218627741361158,0.00218627741361158,0.00218627741361158,0.00240179625848388,0.00240179625848388,0.00240179625848388,0.00240179625848388,0.00240179625848388,0.00265031866907812,0.00265031866907812,0.00265031866907812,0.00265031866907812,0.00265031866907812,0.00265031866907812,0.00265031866907812
FKS0052102141826,0.00216376725975378,0.00216376725975378,0.00216376725975378,0.00216376725975378,0.00216376725975378,0.00216376725975378,0.00216376725975378,0.00216376725975378,0.00216376725975378,0.00256882058579537,0.00256882058579537,0.00256882058579537,0.00256882058579537,0.00256882058579537,0.00256882058579537,0.00256882058579537,0.00256882058579537,0.00256882058579537,0.00256882058579537,0.00256882058579537
FKS0052102142041,0.00100855472347835,0.00100855472347835,0.00100855472347835,0.00100855472347835,0.00100855472347835,0.00100855472347835,0.00100855472347835,0.00100855472347835,0.00102474344079179,0.00102474344079179,0.00102474344079179,0.00102474344079179,0.00102474344079179,0.00102474344079179,0.00102474344079179,0.00102474344079179,0.00102474344079179,0.00102474344079179,0.00102474344079179,0.00102474344079179
FKS0052102150625,0.000452666898653141,0.000452666898653141,0.000452666898653141,0.00057881363028448,0.00064486993696306,0.000771800721016402,0.000771800721016402,0.000848735408932418,0.000848735408932418,0.000848735408932418,0.000848735408932418,0.000919626251161361,0.000919626251161361,0.00113885950217825,0.00118083810120997,0.00118083810120997,0.00118083810120997,0.00118083810120997,0.00118083810120997,0.00118083810120997
FKS0052102152059,0.00188070528211218,0.00188070528211218,0.00188070528211218,0.00188070528211218,0.00188070528211218,0.00188070528211218,0.00188070528211218,0.00188070528211218,0.00188070528211218,0.00188070528211218,0.00188070528211218,0.00188070528211218,0.00188070528211218,0.00188070528211218,0.00217793914301926,0.00252792981974838,0.00252792981974838,0.00252792981974838,0.00252792981974838,0.00252792981974838
FKS0052102152126,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874,0.0357473471049874
FKS0052102172306,0.00243989372904568,0.00243989372904568,0.00243989372904568,0.00243989372904568,0.00243989372904568,0.00243989372904568,0.00243989372904568,0.00243989372904568,0.00365696032913412,0.00365696032913412,0.00365696032913412,0.00365696032913412,0.00368551581407615,0.00368551581407615,0.00368551581407615,0.00368551581407615,0.00368551581407615,0.00368551581407615,0.00368551581407615,0.00368551581407615
FKS0052102181502,0.00184516417590595,0.00184516417590595,0.00184516417590595,0.00184516417590595,0.00184516417590595,0.00184516417590595,0.00184516417590595,0.00184516417590595,0.00184516417590595,0.0018782116626489,0.0025363994969536,0.0025363994969536,0.0025363994969536,0.0025363994969536,0.0025363994969536,0.0025363994969536,0.0025363994969536,0.0025363994969536,0.0025363994969536,0.0025363994969536
FKS0052102191007,0.00308378764819552,0.00308378764819552,0.00308378764819552,0.00308378764819552,0.00308378764819552,0.00308378764819552,0.00308378764819552,0.00643038784664448,0.00643038784664448,0.00643038784664448,0.00643038784664448,0.00643038784664448,0.00643038784664448,0.00643038784664448,0.00643038784664448,0.00643038784664448,0.00643038784664448,0.00643038784664448,0.00643038784664448,0.00643038784664448
FKS0052102200401,0.000996746316639443,0.000996746316639443,0.000996746316639443,0.000996746316639443,0.000996746316639443,0.000996746316639443,0.000996746316639443,0.000996746316639443,0.00189654860149045,0.00189654860149045,0.00189654860149045,0.00189654860149045,0.00189654860149045,0.00189654860149045,0.00189954477224329,0.00189954477224329,0.00189954477224329,0.00189954477224329,0.00189954477224329,0.00189954477224329
FKS0052102200853,0.00160758706434357,0.00160758706434357,0.00160758706434357,0.00160758706434357,0.00160758706434357,0.00160758706434357,0.00183849594125,0.00235755962426816,0.00235755962426816,0.00235755962426816,0.00241644737526269,0.00241644737526269,0.00241644737526269,0.00241644737526269,0.00241644737526269,0.00241644737526269,0.00241644737526269,0.00241644737526269,0.00241644737526269,0.00241644737526269
FKS0052102230622,0.000789136560477224,0.000789136560477224,0.000789136560477224,0.000853522828138064,0.000853522828138064,0.000853522828138064,0.000853522828138064,0.00195452676601297,0.00195452676601297,0.00195452676601297,0.00195452676601297,0.00195452676601297,0.00195452676601297,0.00195452676601297,0.00195452676601297,0.00195452676601297,0.00195452676601297,0.00195452676601297,0.00195452676601297,0.00195452676601297
FKS0052102261304,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761,0.00317036242385761
FKS0052102261918,0.00153740351764214,0.00153740351764214,0.00153740351764214,0.00153740351764214,0.00153740351764214,0.00153740351764214,0.00153740351764214,0.00153740351764214,0.00161923836802757,0.00161923836802757,0.00184883275353286,0.00184883275353286,0.00184883275353286,0.00184883275353286,0.00184883275353286,0.00184883275353286,0.00184883275353286,0.00184883275353286,0.00190872075916163,0.00190872075916163
FKS0052102270033,0.00158119698648178,0.00158119698648178,0.00158119698648178,0.00158119698648178,0.00158119698648178,0.00158119698648178,0.00158119698648178,0.00158119698648178,0.00158119698648178,0.00158119698648178,0.00188525979067584,0.00188525979067584,0.00188525979067584,0.00188525979067584,0.00188525979067584,0.00188525979067584,0.00188525979067584,0.00188525979067584,0.00188525979067584,0.00188525979067584
FKS0052102270204,0.00274475303505259,0.00274475303505259,0.00287258381144704,0.00287258381144704,0.00287258381144704,0.00287258381144704,0.00287258381144704,0.00287258381144704,0.00287258381144704,0.00525471123124966,0.00525471123124966,0.00525471123124966,0.00525471123124966,0.00525471123124966,0.00525471123124966,0.00525471123124966,0.00525471123124966,0.00525471123124966,0.00525471123124966,0.00525471123124966
FKS0052103072144,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395,0.00220910782788395
FKS0052103090830,0.00162302005581941,0.00185497552930989,0.00185497552930989,0.00185497552930989,0.00185497552930989,0.00185497552930989,0.00185497552930989,0.00185497552930989,0.00185497552930989,0.00185497552930989,0.00185497552930989,0.00185497552930989,0.00185497552930989,0.00185497552930989,0.00185497552930989,0.00249354260157692,0.0061485894488137,0.0061485894488137,0.0061485894488137,0.0061485894488137
FKS0052103171729,0.00562567213117201,0.00630891914092636,0.00630891914092636,0.00630891914092636,0.00630891914092636,0.00630891914092636,0.00630891914092636,0.00678678859743001,0.019240162825393,0.019240162825393,0.019240162825393,0.019240162825393,0.019240162825393,0.019240162825393,0.019240162825393,0.019240162825393,0.019240162825393,0.019240162825393,0.019240162825393,0.019240162825393
FKS0052103172011,0.000626896713287175,0.000626896713287175,0.000626896713287175,0.000626896713287175,0.000964857465823742,0.000967468452677096,0.0011574246264598,0.0011574246264598,0.0011574246264598,0.00122318302031832,0.00154382997465751,0.00154382997465751,0.00154382997465751,0.00154382997465751,0.00154382997465751,0.00154382997465751,0.00154382997465751,0.00154382997465751,0.00191538006817326,0.00191538006817326
FKS0052103201809,0.00617782540939769,0.00617782540939769,0.00808650899629812,0.0223074617592002,0.0223074617592002,0.0223074617592002,0.0623103885336414,0.0821528074275788,0.0821528074275788,0.0821528074275788,0.0821528074275788,0.0821528074275788,0.0821528074275788,0.0821528074275788,0.0849778518039393,0.0849778518039393,0.326155794637164,0.326155794637164,0.495972518290365,0.495972518290365
FKS0052103210656,0.000614473729154204,0.000614473729154204,0.000614473729154204,0.00063212100148082,0.00063212100148082,0.000701899794637571,0.000701899794637571,0.000701899794637571,0.000701899794637571,0.00102479527475079,0.00102479527475079,0.00127895909130576,0.00171003152382206,0.00171003152382206,0.00171003152382206,0.00171003152382206,0.00171003152382206,0.00171003152382206,0.00171003152382206,0.00174088346698884
FKS0052104100159,0.000860889879024718,0.000860889879024718,0.000860889879024718,0.000860889879024718,0.000860889879024718,0.000860889879024718,0.000860889879024718,0.000860889879024718,0.000860889879024718,0.00135296917455749,0.00138503929109599,0.00139046431987374,0.00139046431987374,0.00139046431987374,0.00139046431987374,0.00139046431987374,0.00139046431987374,0.00140243352391963,0.00154166505827975,0.00154166505827975
