FileName,real_PGA_total_1,real_PGA_total_2,real_PGA_total_3,real_PGA_total_4,real_PGA_total_5,real_PGA_total_6,real_PGA_total_7,real_PGA_total_8,real_PGA_total_9,real_PGA_total_10,real_PGA_total_11,real_PGA_total_12,real_PGA_total_13,real_PGA_total_14,real_PGA_total_15,real_PGA_total_16,real_PGA_total_17,real_PGA_total_18,real_PGA_total_19,real_PGA_total_20
IWT0091903070426,11.967910666511,11.967910666511,11.967910666511,11.967910666511,11.967910666511,11.967910666511,11.967910666511,11.967910666511,69.9630903449998,69.9630903449998,69.9630903449998,69.9630903449998,69.9630903449998,69.9630903449998,69.9630903449998,69.9630903449998,69.9630903449998,69.9630903449998,69.9630903449998,69.9630903449998
IWT0091903300300,2.59719415081933,2.59719415081933,2.59719415081933,2.59719415081933,2.59719415081933,2.59719415081933,2.61020882119854,2.61020882119854,2.61020882119854,2.61020882119854,2.61020882119854,9.51900017777573,12.6091235247184,12.6091235247184,12.6091235247184,12.6091235247184,12.6091235247184,12.6091235247184,12.6091235247184,12.6091235247184
IWT0091904071002,3.37654935879994,3.37654935879994,3.37654935879994,3.37654935879994,3.54508301735825,3.93601018330361,3.93601018330361,3.93601018330361,5.12753660553701,5.12753660553701,5.12753660553701,5.12753660553701,33.2327976086395,33.2327976086395,33.2327976086395,33.2327976086395,33.2327976086395,33.2327976086395,33.2327976086395,33.2327976086395
IWT0091904252100,9.82871288142098,9.82871288142098,9.82871288142098,9.82871288142098,9.82871288142098,9.82871288142098,9.82871288142098,9.82871288142098,19.7186253420454,72.2232067547638,72.2232067547638,72.2232067547638,72.2232067547638,72.2232067547638,72.2232067547638,72.2232067547638,72.2232067547638,72.2232067547638,72.2232067547638,72.2232067547638
IWT0091905040919,1.13760666410805,1.18545742655251,1.37080993927923,1.37080993927923,1.37080993927923,1.53871685300838,1.53871685300838,1.53871685300838,1.97541902054455,1.97541902054455,11.483053876676,11.483053876676,11.483053876676,11.483053876676,11.483053876676,11.483053876676,11.483053876676,11.483053876676,11.483053876676,11.483053876676
IWT0091905041141,8.01293097412164,8.01293097412164,8.01293097412164,8.01293097412164,8.01293097412164,8.01293097412164,8.01293097412164,8.01293097412164,8.01293097412164,8.01293097412164,21.2874782118996,27.0890228198487,27.0890228198487,27.0890228198487,27.0890228198487,27.0890228198487,27.0890228198487,27.0890228198487,27.0890228198487,27.0890228198487
IWT0091905050451,3.85184225923842,3.85184225923842,3.85184225923842,3.85184225923842,3.85184225923842,3.85184225923842,3.85184225923842,3.85184225923842,3.85184225923842,3.85184225923842,6.7996520335573,6.7996520335573,6.7996520335573,6.7996520335573,6.7996520335573,6.7996520335573,6.7996520335573,6.7996520335573,6.7996520335573,6.7996520335573
IWT0091905181018,11.304345954865,11.304345954865,14.3233300227392,14.3233300227392,14.9607832692592,14.9607832692592,14.9607832692592,14.9607832692592,38.0458716663883,42.8735180227374,42.8735180227374,42.8735180227374,42.8735180227374,42.8735180227374,42.8735180227374,42.8735180227374,42.8735180227374,42.8735180227374,42.8735180227374,42.8735180227374
IWT0091906102212,5.5804354327423,5.5804354327423,5.5804354327423,5.5804354327423,5.5804354327423,5.5804354327423,5.5804354327423,5.5804354327423,14.403145572658,14.403145572658,14.403145572658,14.403145572658,14.403145572658,14.403145572658,14.403145572658,14.403145572658,14.403145572658,14.403145572658,14.403145572658,14.403145572658
IWT0091906111021,6.27993740194458,6.27993740194458,6.27993740194458,6.27993740194458,7.34139019969838,7.34139019969838,7.3519997589529,7.56263338100557,9.53742108154595,25.3874342853288,38.9634169540193,38.9634169540193,38.9634169540193,38.9634169540193,38.9634169540193,38.9634169540193,38.9634169540193,38.9634169540193,38.9634169540193,38.9634169540193
