FileName,real_caa_total_1,real_caa_total_2,real_caa_total_3,real_caa_total_4,real_caa_total_5,real_caa_total_6,real_caa_total_7,real_caa_total_8,real_caa_total_9,real_caa_total_10,real_caa_total_11,real_caa_total_12,real_caa_total_13,real_caa_total_14,real_caa_total_15,real_caa_total_16,real_caa_total_17,real_caa_total_18,real_caa_total_19,real_caa_total_20
IBR0062006010602,1.30141140960615,6.15755031277949,9.53924096493694,12.3537771877878,15.6672892231997,19.8138984052297,23.4572558458529,27.9941510304837,31.2843497515217,35.358034878981,40.58793823218,48.7253320310539,65.1180513784726,77.8724993033356,84.873518296096,92.6142368649743,99.5939879593207,107.977918551932,115.588945360552,122.908425183489
IBR0062006040531,3.2027654662191,8.96297149797137,13.6387048681523,19.2660871799614,25.4646257781955,32.6635920108582,49.1283454818852,72.7135476144804,84.4864484705631,97.8357978072325,108.097937292257,118.300120324732,127.172536745207,133.320759086962,140.067641378661,145.68653666573,150.895956264924,155.886701716738,159.857545392103,164.208064643818
IBR0062006072144,0.471504770203051,2.25501912349048,2.9747009307207,3.67567100372325,4.16268293864446,4.65855820406938,5.18255713647207,5.65219667668169,6.0523883885455,6.55727118013072,7.18487393180667,8.55400323727215,9.91401401656934,11.0921402762952,11.9096875643331,12.5577205417256,13.1044148964283,13.6133417443154,14.1010325905457,14.4295050707344
IBR0062006250447,0.0572282166557073,0.412892686148521,1.63046428677894,4.71971368463867,8.48815915981575,12.7787515414173,17.1799203662105,22.6317501011023,27.3426246334465,31.6240937382704,35.8471897795481,39.2572536710499,42.697477022604,46.0207159508063,49.6920049047143,54.042684390622,59.4091396450846,66.0268446920386,73.3639677097181,78.6918749475573
IBR0062007090605,3.89585858686427,8.7340012989378,12.5346797799341,16.2483378522972,19.7311787419004,23.1133075821283,26.9737963170125,30.6093978059659,35.5986451805008,48.1751546928247,58.1742471734344,63.7925394786841,69.4220360304749,75.1504269117265,81.0428367153899,86.2419032886079,91.2931832402414,95.1153868240549,99.0706751996344,102.554824451792
IBR0062007192101,4.53138117530682,7.74698346473821,9.66596633404751,11.0127610658393,12.3942423709023,13.5739097376386,15.1462236453014,16.8827262550266,19.2674673732508,22.537919218584,25.5959952960363,28.0187691452511,29.8550312296257,31.6588189660103,33.1044190948088,34.6264592280702,36.1866869731072,37.567921347789,38.9927856160516,40.0870408835399
IBR0062007290533,1.35809889588886,3.27398202215615,5.01155924187319,7.27105370391801,9.83806081517094,12.2282083498734,15.0013596620385,18.4880682545067,23.0275807670723,33.6819682486159,38.5884383650164,42.5778417613598,45.5141003642116,48.6390265750462,51.2697808551717,53.7390752496435,55.6177630960502,57.1431116342254,58.5546873437731,59.7075632237037
IBR0062008060254,0.438371233579249,2.77481726635608,5.42708789170789,8.17463547508987,9.82842397067393,11.1947421975764,12.5275977599814,14.0486465370911,15.4195032414205,16.8516508925823,18.5906314532713,20.4613652927492,22.3250584330114,24.0968967784324,26.0833521249727,29.6087445720869,33.5183857641989,36.9731989417411,40.9932935434522,44.3768730101563
IBR0062008301437,6.3661254220521,11.7005857780818,16.3071240354397,20.0792461643867,23.4064049865684,26.3928880478867,29.4969586027926,33.8149895690166,37.495388669847,50.1447910900584,62.948061960278,70.004777722508,76.5756404719067,84.1104153004309,89.6195166850047,93.0845507692995,98.3139889235743,101.883224537444,106.482443888861,109.867228566619
IBR0062009051034,0.343645571155317,1.18785751349116,2.04926004500145,2.88425247124983,3.74418643942722,4.66474763763903,5.62079378933519,6.47250021780261,7.35313692226247,8.19813714578803,9.19065301520457,10.4307192847851,13.676738421431,17.5241896269616,19.7826620297692,22.0365442893474,24.3387738033867,27.0530389424,29.6661135869325,31.8717275752867
