FileName,real_cav_total_1,real_cav_total_2,real_cav_total_3,real_cav_total_4,real_cav_total_5,real_cav_total_6,real_cav_total_7,real_cav_total_8,real_cav_total_9,real_cav_total_10,real_cav_total_11,real_cav_total_12,real_cav_total_13,real_cav_total_14,real_cav_total_15,real_cav_total_16,real_cav_total_17,real_cav_total_18,real_cav_total_19,real_cav_total_20
OKY0132004031430,0.0393009306165728,0.0659560147296899,0.265867078233037,0.413203130574445,0.473606708136125,0.529540812303587,0.572653267751102,0.607657929368565,0.63629526237439,0.675983449780352,0.707927544508507,0.730298203667048,0.74719149200174,0.764575758835246,0.783358938035199,0.797088183115944,0.810803609386781,0.822477832328951,0.836038874146815,0.845467790088041
OKY0141911261509,0.018057925833201,0.0542470853061372,0.0807939385070717,0.108834649604471,0.133282141754026,0.163003414872467,0.191256357262515,0.226463153971872,0.252351911880321,0.359282699846397,0.559784893797856,0.73174147554969,0.94353111568577,1.15049516336792,1.24975844221514,1.32871904796628,1.38867194014336,1.43279456163497,1.48045262677822,1.52177502845707
OKY0142004031430,0.0188673136031592,0.0396168343952739,0.0528954181936295,0.0669976039516969,0.0847957796631288,0.133860618418688,0.177537536453281,0.212341980241421,0.242544053345961,0.275678828121646,0.295930763131438,0.312052275811758,0.328943927621281,0.342833678021098,0.354015235511968,0.365270653972503,0.376934252767174,0.385278994651878,0.392959338539007,0.400297523744034
OSK0042010260634,0.00893591524379156,0.0181624184514729,0.0258844546555945,0.0346794015866081,0.0401008836931055,0.0468327211401675,0.0536986523782269,0.0610250270627131,0.0671935888593492,0.0803647791117871,0.176216090117592,0.309779338251005,0.358768214751317,0.390395437010937,0.422088295936794,0.456129006003139,0.479147690314759,0.505416032045346,0.523950164484073,0.541219190005133
OSK0081903131348,0.0325719567339893,0.073543582777063,0.111236461050028,0.145833467326613,0.182487525890968,0.221004099153164,0.260726573588997,0.298066171417902,0.34913230204309,0.404539346495246,0.565379169847038,0.898648230046816,1.16594476043278,1.62432472116084,2.01730567633792,2.38324397082419,2.81814830731081,3.12288340230471,3.47100798259397,3.72686717890021
OSK0082102151328,0.00621997564479294,0.0143180689804202,0.0275843809014542,0.0478630251945493,0.103889611992642,0.148070448411291,0.194926560326808,0.251768742113012,0.307429422691114,0.347511519207437,0.38941289551935,0.41423185038777,0.451491152818847,0.494592100321536,0.518363030777966,0.546104125280493,0.567630618325942,0.587110155524011,0.606387676292555,0.621468625379631
OSK0091903131348,0.0071881441222692,0.0197965859692316,0.0307048550480617,0.0408649802441717,0.0498675339874065,0.0631241955135719,0.0783278519355611,0.0955277675514415,0.113089522108503,0.127642027355248,0.150758284490199,0.298127775420439,0.457752009443546,0.550119336009141,0.632563876029327,0.711815459402339,0.773445696971384,0.822586124612449,0.852062805414722,0.893683221099263
OSK0092008011215,0.0195183166119763,0.029801751959525,0.0362957817913473,0.0421174232762615,0.0520411547571392,0.0577164910151546,0.0644975080616199,0.0758137648601028,0.0871216662761869,0.169873442582278,0.197833656853866,0.218110469582731,0.232869799523843,0.243008836243912,0.25355318347105,0.264128485061026,0.272754092211392,0.279564556529739,0.285510085015671,0.290244365055193
OSK0101903131348,0.0490511807751638,0.125174407386002,0.189641743309758,0.239033429277602,0.289275912277794,0.348289375304425,0.420000039981613,0.483156341189221,0.569992586237232,1.03181270484367,1.58293678477533,2.05306304418402,2.45545423620099,2.74945527965854,3.11600589647463,3.45474411390627,3.86759930771482,4.14752286417842,4.37570494042975,4.54147137733265
OSK0102102151328,0.0223301225360423,0.0635768156471518,0.116778573179441,0.28936270842247,0.379898420522493,0.513501333487289,0.590079495523974,0.650996959761225,0.722016232770104,0.788259974935027,0.875127926324201,0.940169686731872,1.01501377343932,1.0958640481416,1.15939055705811,1.19890820724001,1.23605068096111,1.26481255253373,1.28983858465092,1.32016397779551
